player,year,draft_pick,height,wingspan,vertical,weight,agility,sprint
Darius Miller,2012,46.0,79.5,81.0,37.0,233.0,11.34,3.31
Kevin Murphy,2012,47.0,78.25,78.75,36.5,194.0,10.97,3.42
Kyle O'Quinn,2012,49.0,82.0,88.75,31.5,241.0,11.65,3.53
Thomas Robinson,2012,5.0,80.75,87.25,35.5,244.0,11.96,3.17
Kris Joseph,2012,51.0,79.0,83.0,35.0,215.0,11.33024774774775,3.46
Darius Johnson-Odom,2012,55.0,75.0,79.0,41.5,212.0,10.76,3.21
Robbie Hummel,2012,58.0,80.5,80.5,30.0,218.0,11.56,3.41
Marcus Denmon,2012,59.0,75.25,77.0,40.0,188.0,10.82,3.19
Damian Lillard,2012,6.0,74.75,79.75,39.5,189.0,11.15,3.34
Harrison Barnes,2012,7.0,80.0,83.25,39.5,228.0,10.93,3.16
Terrence Ross,2012,8.0,79.0,79.25,37.5,197.0,11.78,3.28
Andre Drummond,2012,9.0,83.75,90.25,33.5,279.0,10.83,3.39
C.J. McCollum,2013,10.0,75.25,78.25,38.5,197.0,11.02,3.32
Michael Carter-Williams,2013,11.0,77.75,79.25,41.0,184.0,10.68,3.22
Steven Adams,2013,12.0,84.0,88.5,33.0,255.0,11.85,3.4
Kelly Olynyk,2013,13.0,84.0,81.75,29.5,234.0,11.42,3.59
Shabazz Muhammad,2013,14.0,78.25,83.0,37.0,222.0,10.99,3.32
Dennis Schroeder,2013,17.0,74.0,79.75,34.0,165.0,11.09,3.21
Shane Larkin,2013,18.0,71.5,70.75,44.0,171.0,10.64,3.08
Victor Oladipo,2013,2.0,76.25,81.25,42.0,213.0,10.69,3.25
Tony Snell,2013,20.0,79.25,83.5,36.5,198.0,10.36,3.25
Gorgui Dieng,2013,21.0,82.75,87.5,35.13666666666666,230.0,11.33024774774775,3.299663677130045
Mason Plumlee,2013,22.0,84.5,83.0,36.0,238.0,10.89,3.29
Solomon Hill,2013,23.0,79.0,81.0,37.5,226.0,10.77,3.19
Tim Hardaway Jr,2013,24.0,78.25,79.0,37.5,199.0,10.68,3.25
Reggie Bullock,2013,25.0,79.0,80.75,36.5,200.0,11.33,3.31
Andre Roberson,2013,26.0,79.0,83.0,36.5,206.0,11.36,3.34
Rudy Gobert,2013,27.0,86.0,92.5,29.0,238.0,12.85,3.57
Archie Goodwin,2013,29.0,77.25,81.5,36.0,189.0,10.75,3.27
Otto Porter,2013,3.0,80.5,85.5,36.0,198.0,11.25,3.4
Allen Crabbe,2013,31.0,78.25,83.25,36.0,197.0,10.67,3.32
Carrick Felix,2013,33.0,78.25,81.25,38.5,203.0,11.16,3.25
Isaiah Canaan,2013,34.0,72.0,76.5,40.5,188.0,10.98,3.22
Glen Rice,2013,35.0,77.75,81.25,40.5,211.0,10.99,3.25
Ray McCallum,2013,36.0,73.75,75.25,40.0,191.0,10.82,3.25
Tony Mitchell,2013,37.0,80.75,86.5,38.0,236.0,11.82,3.52
Nate Wolters,2013,38.0,76.75,75.75,35.13666666666666,196.0,11.33024774774775,3.299663677130045
Jeff Withey,2013,39.0,84.5,86.0,29.0,222.0,12.49,3.47
Cody Zeller,2013,4.0,84.25,82.75,37.5,230.0,10.82,3.15
Grant Jerrett,2013,40.0,82.25,86.0,34.0,232.0,11.85,3.51
Jamaal Franklin,2013,41.0,77.25,83.25,35.13666666666666,191.0,11.33024774774775,3.299663677130045
Pierre Jackson,2013,42.0,70.5,70.0,35.13666666666666,176.0,11.33024774774775,3.299663677130045
Ricky Ledo,2013,43.0,78.0,79.25,33.5,197.0,10.72,3.32
Mike Muscala,2013,44.0,83.5,85.0,33.5,230.0,11.76,3.44
Erick Green,2013,46.0,75.0,77.75,35.13666666666666,178.0,11.33024774774775,3.299663677130045
Ryan Kelly,2013,48.0,83.75,83.5,35.13666666666666,228.0,11.33024774774775,3.299663677130045
Erik Murphy,2013,49.0,81.5,82.5,29.5,240.0,12.19,3.57
